Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
The Love Bug,,1968,100 Block of Lombard Street,"100 Lombard St, San Francisco, CA 94111",37.803892,-122.404501,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson,77,8,3
Chance,Season 1 ep106,2016,2 Rowland,"2 Rowland St, San Francisco, CA 94133",37.797713,-122.404472,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,106,23,3
Chance,Season 1 ep109,2016,2 Rowland,"2 Rowland St, San Francisco, CA 94133",37.797713,-122.404472,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,106,23,3
Swing,,2003,"Broadway Studios, 435 Broadway","435 Broadway, San Francisco, CA 94133",37.798066,-122.404458,,unlisted,Crazy Dreams Entertainment,Martin Guigui,Mary Keil,Constance Brenneman,,,106,23,3
Blindspotting,Season 2,2023,"Broadway Studios, 435 Broadway","Broadway Studios, 435 Broadway, San Francisco CA",37.798066,-122.404458,,Blindspotting Productions Inc.,Starz,"Rafael Casal, Jess Wu Calder,","Brittany Miller, Benjamin Earl Turner, Rafael Casal & Daveed Diggs, Sarah LaBrie, Obehi Janice, Sanjay Shah, Nyesha Littlejohn & Susan Park",Jasmine Cephas Jones,Jaylen Barron,Rafael Casal,106,23,3
Nash Bridges,,2021,"Broadway Studios, 435 Broadway","Broadway Studios, 435 Broadway, San Francisco CA",37.798066,-122.404458,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,106,23,3
Jexi,,2019,1151 Montgomery St,"1151 Montgomery St, San Francisco CA",37.799829,-122.404406,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,18,23,3
Venom: Let There Be Carnage,,2021,Montgomery and Green,"1151 Montgomery St, San Francisco, CA 94133",37.799829,-122.404406,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,18,23,3
Shit and Champagne,,2020,Montgomery and Green,"1151 Montgomery St, San Francisco, CA 94133",37.799829,-122.404406,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,18,23,3
Sense8,Season 2,2016,Montgomery and Green,"1151 Montgomery St, San Francisco, CA 94133",37.799829,-122.404406,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,106,23,3
Ant-Man and the Wasp,,2018,Montgomery and Green,"1151 Montgomery St, San Francisco, CA 94133",37.799829,-122.404406,Stunt scene involving weaving car,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,106,23,3
Vertigo,,1958,Claude Lane at Bush Street,"7 Claude Ln, San Francisco, CA 94108",37.78999,-122.40439,,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,104,8,3
Godzilla,,2014,Kearney & Pine St.,"353 Kearny St, San Francisco, CA 94108",37.791504,-122.404389,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,108,8,3
Dark Passage,,1947,The Malloch Apartment Building (1360 Montgomery Street),"1360 Montgomery St, San Francisco, CA 94133",37.8018,-122.404323,,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruce Bennett,18,23,3
Nine Months,,1995,The Malloch Apartment Building (1360 Montgomery Street),"1360 Montgomery St, San Francisco, CA 94133",37.8018,-122.404323,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,18,23,3
Ant-Man,,2015,Broadway between Powell and Davis,"412 Broadway, San Francisco, CA 94133",37.798495,-122.404301,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,77,8,3
The Lady from Shanghai,,1947,Former Hall of Justice (750 Kearny Street at Washington),"750 Kearny St, San Francisco, CA 94108",37.79516,-122.404286,,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,104,6,3
Woman on the Run,,1950,Former Hall of Justice (750 Kearny Street at Washington),"750 Kearny St, San Francisco, CA 94108",37.79516,-122.404286,,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,104,6,3
Dirty Harry,,1971,Holiday Inn Select Downtown Hotel (750 Kearney Street),"750 Kearny St, San Francisco, CA 94108",37.79516,-122.404286,,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,104,6,3
Chance,Season 1 Pilot,2016,1055 Montgomery St.,"1055 Montgomery St., San Francisco CA",37.798889,-122.404282,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,106,23,3
The Internship,,2013,Montgomery and Union St.,"1260 Montgomery St, San Francisco, CA 94133",37.8009,-122.40421,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,18,23,3
The Wedding Planner,,2001,Montgomery Street at Union Street,"1260 Montgomery St, San Francisco, CA 94133",37.8009,-122.40421,,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,18,23,3
The Woman In Red,,1984,Montgomery Street at Union Street,"1260 Montgomery St, San Francisco, CA 94133",37.8009,-122.40421,,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,18,23,3
Chance,Season 1 ep105,2016,Maiden Lane between Kearny and Grant,"30 Maiden Ln, San Francisco, CA 94108",37.788501,-122.404196,,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,19,8,3
Sense8,Season 2,2016,"Marina Morrison Bridal, 30 Maiden Ln.","30 Maiden Ln, San Francisco, CA 94108",37.788501,-122.404196,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,19,8,3
Surface,,2022,Montgomery Street between Green and Union,"1236 Montgomery St, San Francisco, CA 94133",37.800695,-122.404194,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,18,23,3
Basic Instinct,,1992,Gibb Street (Chinatown),"Gibb Street (Chinatown), San Francisco CA",37.7961438,-122.4041837,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,104,6,3
Blindspotting,Season 2,2023,Broadway at Montgomery,"406 Broadway, San Francisco, CA 94133",37.798444,-122.404113,,Blindspotting Productions Inc.,Starz,"Rafael Casal, Jess Wu Calder,","Brittany Miller, Benjamin Earl Turner, Rafael Casal & Daveed Diggs, Sarah LaBrie, Obehi Janice, Sanjay Shah, Nyesha Littlejohn & Susan Park",Jasmine Cephas Jones,Jaylen Barron,Rafael Casal,106,23,3
Hulk,,2003,Telegraph Hill,"Telegraph Hill, San Francisco CA",37.800785,-122.404091,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,18,23,3
Innerspace,,1987,Telegraph Hill,"Telegraph Hill, San Francisco CA",37.800785,-122.404091,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan,18,23,3
The House on Telegraph Hill,,1951,Telegraph Hill,"Telegraph Hill, San Francisco CA",37.800785,-122.404091,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,18,23,3
A Night Full of Rain,,1978,Broadway (North Beach),"Broadway (North Beach), San Francisco CA",37.798225,-122.404005,,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,106,6,3
Basic Instinct,,1992,1158-70 Montgomery Street,"1158-70 Montgomery Street, San Francisco CA",37.79999,-122.40397,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,18,23,3
Nine Months,,1995,Montgomery & Vallejo Streets,"1136 Montgomery St, San Francisco, CA 94133",37.799712,-122.403911,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,106,23,3
